Time[s], Channel 0, Channel 1
7.940098, 1, 1
7.940102, 0, 1
7.940104, 0, 0
7.940108, 1, 0
7.940114, 1, 1
7.940392, 1, 0
7.940396, 0, 0
7.940402, 1, 0
7.940406, 0, 0
7.940412, 1, 0
7.940416, 0, 0
7.940418, 0, 1
7.940424, 1, 1
7.940428, 0, 1
7.940434, 1, 1
7.940438, 0, 1
7.940444, 1, 1
7.940448, 0, 1
7.940454, 1, 1
7.940460, 0, 1
7.940466, 1, 1
7.940470, 0, 1
7.940476, 1, 1
7.940480, 0, 1
7.940486, 1, 1
7.940490, 0, 0
7.940496, 1, 0
7.940502, 1, 1
7.941056, 1, 0
7.941060, 0, 0
7.941066, 1, 0
7.941070, 0, 1
7.941076, 1, 1
7.941080, 0, 1
7.941082, 0, 0
7.941086, 1, 0
7.941092, 0, 0
7.941098, 1, 0
7.941102, 0, 0
7.941108, 1, 0
7.941112, 0, 0
7.941118, 1, 0
7.941122, 0, 0
7.941128, 1, 0
7.941134, 0, 1
7.941140, 1, 1
7.941144, 0, 1
7.941150, 1, 1
7.941154, 0, 0
7.941160, 1, 0
7.941166, 1, 1
7.941434, 1, 0
7.941438, 0, 0
7.941444, 1, 0
7.941448, 0, 1
7.941454, 1, 1
7.941458, 0, 1
7.941460, 0, 0
7.941464, 1, 0
7.941470, 0, 0
7.941476, 1, 0
7.941480, 0, 0
7.941486, 1, 0
7.941490, 0, 0
7.941496, 1, 0
7.941500, 0, 0
7.941502, 0, 1
7.941506, 1, 1
7.941512, 0, 1
7.941518, 1, 1
7.941522, 0, 1
7.941528, 1, 1
7.941532, 0, 0
7.941538, 1, 0
7.941544, 1, 1
7.941820, 1, 0
7.941824, 0, 0
7.941830, 1, 0
7.941834, 0, 0
7.941836, 0, 1
7.941840, 1, 1
7.941846, 0, 0
7.941852, 1, 0
7.941856, 0, 0
7.941862, 1, 0
7.941866, 0, 0
7.941872, 1, 0
7.941876, 0, 0
7.941878, 0, 1
7.941882, 1, 1
7.941888, 0, 0
7.941894, 1, 0
7.941898, 0, 1
7.941904, 1, 1
7.941908, 0, 1
7.941914, 1, 1
7.941918, 0, 0
7.941924, 1, 0
7.941930, 1, 1
7.942208, 1, 0
7.942212, 0, 0
7.942218, 1, 0
7.942222, 0, 1
7.942228, 1, 1
7.942232, 0, 0
7.942238, 1, 0
7.942244, 0, 0
7.942250, 1, 0
7.942254, 0, 0
7.942260, 1, 0
7.942264, 0, 1
7.942270, 1, 1
7.942274, 0, 1
7.942280, 1, 1
7.942286, 0, 1
7.942292, 1, 1
7.942296, 0, 1
7.942302, 1, 1
7.942306, 0, 0
7.942312, 1, 0
7.942318, 1, 1
7.942618, 1, 0
7.942622, 0, 0
7.942628, 1, 0
7.942634, 0, 1
7.942640, 1, 1
7.942644, 0, 0
7.942650, 1, 0
7.942654, 0, 0
7.942660, 1, 0
7.942664, 0, 1
7.942670, 1, 1
7.942676, 0, 0
7.942682, 1, 0
7.942686, 0, 0
7.942692, 1, 0
7.942696, 0, 1
7.942702, 1, 1
7.942706, 0, 1
7.942712, 1, 1
7.942718, 0, 0
7.942724, 1, 0
7.942728, 1, 1
7.943006, 1, 0
7.943010, 0, 0
7.943016, 1, 0
7.943020, 0, 1
7.943026, 1, 1
7.943030, 0, 1
7.943032, 0, 0
7.943036, 1, 0
7.943042, 0, 0
7.943048, 1, 0
7.943052, 0, 1
7.943058, 1, 1
7.943062, 0, 0
7.943068, 1, 0
7.943072, 0, 0
7.943074, 0, 1
7.943078, 1, 1
7.943084, 0, 1
7.943090, 1, 1
7.943094, 0, 1
7.943100, 1, 1
7.943104, 0, 0
7.943110, 1, 0
7.943116, 1, 1
7.943392, 1, 0
7.943398, 0, 0
7.943404, 1, 0
7.943408, 0, 1
7.943414, 1, 1
7.943418, 0, 0
7.943424, 1, 0
7.943428, 0, 0
7.943434, 1, 0
7.943440, 0, 1
7.943446, 1, 1
7.943450, 0, 1
7.943456, 1, 1
7.943460, 0, 0
7.943466, 1, 0
7.943470, 0, 0
7.943472, 0, 1
7.943476, 1, 1
7.943482, 0, 1
7.943488, 1, 1
7.943492, 0, 0
7.943498, 1, 0
7.943502, 1, 1
7.943780, 1, 0
7.943784, 0, 0
